Author: 534571148;Work Time(s): 4262

One day @entity0 and @entity1 went to the neighborhood fair. They were so exited because this year Bob the clown was going to be there. They had heard a lot about Bob the clown, he was funny and knew a lot of balloon tricks. He always made the kids laugh and gave out small prizes to many of the children at the fair. @entity0 and @entity1 had even heard that sometimes Bob the clown would give out free cotton candy and candy apples. They had waited all year and were so excited. They did all their chores and cleaned their rooms so they could go to the fair. When they got to the fair they were so happy to see that Bob the clown was handing out cotton candy and candy apples. @entity0 and @entity1 waited in line and then once it was their turn @entity0 got a balloon in the shape of a dog and @entity1 got a big bag of cotton candy. They were both happy and could not wait to tell their friends all about Bob the clown.

@placeholder were @entity0 and @entity1 going,and why were they so excited
the fair, and because bob the clown was going to be there

the fair, and because the rides were fun
the park, and because bob the clown was going to be there
the art show, and because bob the clown was going to be there
the fair, and because bob the clown was going to be there

@entity0:Billy
@entity1:Sandy
